,iteration,error,fairness_violation
0,0,0.05078369905956113,0.011122390923593526
1,1,0.3774294670846395,0.005570120148596042
2,2,0.27419017763845355,0.018710977736625094
3,3,0.28793103448275864,0.042081571637345355
4,4,0.24363636363636365,0.03349167215163047
5,5,0.2189132706374086,0.02790972679302535
6,6,0.2031347962382445,0.023922622965450332
7,7,0.19177115987460816,0.02093229509476902
8,8,0.18342041100661796,0.018606484528683583
9,9,0.17736677115987462,0.016745836075815222
10,10,0.1726417782844115,0.015223487341650192
11,11,0.1691745036572623,0.013954863396512675
12,12,0.16624065589582834,0.01288141236601171
13,13,0.16430810568741602,0.011961311482725154
14,14,0.16242424242424242,0.011163890717210146
15,15,0.16093260188087774,0.01046614754738451
16,16,0.15969020837175,0.009850491809303072
17,17,0.15837687216997565,0.009303242264341788
18,18,0.15687180333278336,0.00881359793463959
19,19,0.15529780564263326,0.008372918037907615
20,20,0.15390356769667116,0.007974207655150105
21,21,0.1524080934739242,0.007611743670825099
22,22,0.151015401390214,0.007280798293832707
23,23,0.14966039707419018,0.006977431698256337
24,24,0.14821316614420066,0.006698334430326093
25,25,0.14694960212201594,0.006440706183005855
26,26,0.1457331940090561,0.006202161509561191
27,27,0.14442454097626514,0.00598065574136258
28,28,0.14329261701437684,0.0057744262330397325
29,29,0.14208986415882968,0.005581945358605072
30,30,0.14096470826170493,0.005401882605101685
31,31,0.1398706896551724,0.005233073773692253
32,32,0.1388239764415313,0.005074495780550067
33,33,0.13780195463765443,0.004925245904651537
34,34,0.13676668159426777,0.004784524593090062
35,35,0.1357715081853013,0.004651621132170896
36,36,0.1348131830890452,0.00452590164211222
37,37,0.1338887972281802,0.004406798967319795
38,38,0.13296358813600195,0.004293804122003906
39,39,0.13211598746081504,0.004186459018953807
40,40,0.13121798302622525,0.004084350262393957
41,41,0.13033288550529928,0.003987103827575052
42,42,0.12948895531092805,0.0038943804827477253
43,43,0.12864063835850673,0.003805871835412548
44,44,0.12784395680947405,0.0037212969057367168
45,45,0.12705465449093636,0.003640399146916351
46,46,0.12625892082972054,0.003562943845918131
47,47,0.1254702194357367,0.0034887158491281687
48,48,0.12471370993538482,0.0034175175664929018
49,49,0.12397492163009406,0.0033491672151630433
50,50,0.12324051877804414,0.003283497269767692
51,51,0.1224981914637087,0.0032203530915029268
52,52,0.1217957059206246,0.0031595917124179647
53,53,0.12111923836061769,0.003101080754780596
54,54,0.12045597036192646,0.0030745140355912448
55,55,0.11982758620689656,0.0030196119992414003
56,56,0.11919925204861687,0.0029375919746711123
57,57,0.11858177494324938,0.0028869438371767844
58,58,0.11793209712555124,0.002838012585699211
59,59,0.11733542319749218,0.0027907309690350553
60,60,0.11674803432858832,0.002729417943997224
61,61,0.11617959348771363,0.002697351635178955
62,62,0.11561924665372943,0.0026545365298586542
63,63,0.11509600313479623,0.00262802393489441
64,64,0.1145695683626718,0.002587592797434495
65,65,0.11403058801177923,0.0025483868459582164
66,66,0.11343283582089553,0.0025103512213916737
67,67,0.11291720449935459,0.002497862340643484
68,68,0.11237108718368088,0.0024616614371558974
69,69,0.11183161665920287,0.002426494845196527
70,70,0.11132500331140448,0.00238432121079089
71,71,0.11083246255660048,0.0023695275865787584
72,72,0.1103362391033624,0.0023370683045708302
73,73,0.10985342709480643,0.002287011294251447
74,74,0.10938349007314527,0.0022565178103280932
75,75,0.10890942088764231,0.0022627824120257825
76,76,0.10843138053169402,0.002237053879754044
77,77,0.10795755968169761,0.0021878211778813086
78,78,0.1074957342962581,0.002166559509232604
79,79,0.10703761755485892,0.0021591048539140335
80,80,0.10662951352606528,0.002089533614874148
81,81,0.1061854881871703,0.0021347687567394315
82,82,0.10578237715753298,0.002107093015800863
83,83,0.10538886400955369,0.0020616690545516175
84,84,0.10500460999446802,0.0020443176322280958
85,85,0.10459284100021873,0.0020185099041971208
86,86,0.10421215724426192,0.002038547209733861
87,87,0.10377600455970364,0.0019898311814358395
88,88,0.10338487548871125,0.0019668781307694756
89,89,0.10300243817485197,0.0019672116923313394
90,90,0.10260773709049571,0.0019283207895307555
91,91,0.10224206078778794,0.0019270714852861516
92,92,0.10187750699430344,0.0018924654411296364
93,93,0.1015007003268192,0.0018766290223693953
94,94,0.10113182643128199,0.0018638973520101985
95,95,0.10077063740856845,0.0018693035397539025
96,96,0.10041043208480108,0.0018490892966668247
97,97,0.10006397543343357,0.0018083646627026185
98,98,0.09971818498464269,0.001796667914094482
99,99,0.0993793103448276,0.001750365354365846
100,100,0.09904714609391975,0.0017789949322579832
101,101,0.09872149486753952,0.0017390725631722366
102,102,0.09840216696594335,0.0017532243951114824
103,103,0.09809500843983603,0.0017132287886368152
104,104,0.09778175847141365,0.0017445850259692457
105,105,0.09747441887975397,0.0017546271028003953
106,106,0.09717868338557997,0.0017227356291951116
107,107,0.09688842447463139,0.001691331443448269
108,108,0.09660349141525987,0.0016931420434523764
109,109,0.09630664006839557,0.0016884290421478488
110,110,0.09602643395746845,0.0016764340730471554
111,111,0.09574563367666816,0.001631399876966818
112,112,0.09545315837656394,0.0016750373449767588
113,113,0.09518781279216854,0.0016471625073907572
114,114,0.09492163009404388,0.0016163577868134858
115,115,0.09465463193168305,0.0016481819220467077
116,116,0.09438683921442542,0.0016772308832684343
117,117,0.09413952499867172,0.0016217592940118953
118,118,0.09388583019414662,0.0016522670157544169
119,119,0.09363636363636366,0.0016270075897024013
120,120,0.09337029456721677,0.0016067985830031377
121,121,0.09312400431676858,0.0016472310884880878
122,122,0.09287152432652855,0.0016073415344311978
123,123,0.09263828496309032,0.0016071543600153886
124,124,0.0924037617554859,0.0016099064023471941
125,125,0.09219286460665771,0.0016295876033267142
126,126,0.09196554192481425,0.0016332352525479938
127,127,0.09174177115987461,0.001632102098416984
128,128,0.09151660955991352,0.0016290969349840902
129,129,0.09129491198456716,0.0016383493791764753
130,130,0.09107659910502763,0.0016546863249357554
131,131,0.09085209461385012,0.001625455066061277
132,132,0.09063568010936435,0.0016206778282848334
133,133,0.0904131380713985,0.0016247758629847461
134,134,0.09019853709508882,0.001625235047740877
135,135,0.08999631200442561,0.0016323317778566713
136,136,0.08978331007024692,0.0016309376547926275
137,137,0.0895824814865295,0.0016193981624522582
138,138,0.08937552152635257,0.0016377201566539368
139,139,0.0891715181370354,0.0016323809948794632
140,140,0.08897040841281488,0.0016331227407903053
141,141,0.0887853768378295,0.001664532650448144
142,142,0.0885897801258303,0.0016562003130349506
143,143,0.08839254615116686,0.0016665768000287595
144,144,0.08821100421576049,0.001678418145427003
145,145,0.08801906643191482,0.0016816157717554148
146,146,0.08782547501759327,0.0016672013130824917
147,147,0.08765568075912905,0.0016800722899630745
148,148,0.08747133449748587,0.0016617437385498032
149,149,0.08730616509926854,0.001667395516088608
150,150,0.0871182710872138,0.0016835631132351412
151,151,0.08695759775614587,0.0016387222197105237
152,152,0.08679902473005922,0.0016865689369713693
153,153,0.08664251109392178,0.0016889607564425455
154,154,0.08648801698857315,0.0017086204917286518
155,155,0.0863033518205932,0.001698683265439925
156,156,0.08613701255915183,0.0017040858083055453
157,157,0.08598468314749418,0.0017055048230730264
158,158,0.0858342698290649,0.0017454217654728434
159,159,0.08565438871473356,0.0017386021988197102
160,160,0.0855001070893125,0.0017312506569657367
161,161,0.08534773017531641,0.0017418013736580438
162,162,0.08520491566821163,0.001750870926922488
163,163,0.08506384280143743,0.0017719040519982732
164,164,0.08489028213166146,0.0017557022494605464
165,165,0.08475280432073122,0.001783190056716116
166,166,0.08460195596268279,0.0017597064152131711
167,167,0.08443424391700255,0.0017934669433319575
168,168,0.08429448535549333,0.0017789369602239534
169,169,0.08413424303890835,0.0017639774704156477
170,170,0.08399420704320888,0.0017965237953483206
171,171,0.08385579937304077,0.001817029910932145
172,172,0.08369362349828766,0.0017907957976848307
173,173,0.08355853421251759,0.0018261627449977196
174,174,0.08343215405284372,0.0018071215813270066
175,175,0.08329296095753777,0.0018410209030363216
176,176,0.08316950923613696,0.001843023456988777
177,177,0.08303687788383643,0.0018527593389263887
178,178,0.08290222588045747,0.0018594697128101853
179,179,0.08278300243817485,0.0018526751128910902
180,180,0.08265470479225481,0.0018622671823179777
181,181,0.0825243721795446,0.0019030392849266333
182,182,0.08239203796015554,0.001888363750726426
183,183,0.08224751260733272,0.0019018131665322303
184,184,0.08211810556638142,0.001917646849540333
185,185,0.08198671925034551,0.0019264158373845297
186,186,0.08185673813555062,0.0019351894733080576
187,187,0.08171480024011205,0.0019486970550669786
188,188,0.08158763331177128,0.0019546480707359347
189,189,0.0814585051971622,0.001957750415262155
190,190,0.08132088168195771,0.001964634293144071
191,191,0.0811944879832811,0.001961656036063172
192,192,0.08107265255737653,0.001984080994538428
193,193,0.08094560966939211,0.0020054553298149056
194,194,0.08081986978538704,0.0019999164740850837
195,195,0.08070181050476617,0.0020016769076688784
196,196,0.08057858472701813,0.0020264022362003324
197,197,0.0804724359583294,0.0020189850174566646
198,198,0.08033899907058806,0.0020410568107329012
199,199,0.08021943573667713,0.002036602371735517
200,200,0.08010730048815486,0.00206489113130895
201,201,0.07999006797231449,0.0020308522446305247
202,202,0.079858548110629,0.0020822959438232726
203,203,0.07974983096686952,0.0021010309544449417
204,204,0.07964217447817114,0.0020888528757218323
205,205,0.07952643272362055,0.0021227703310918006
206,206,0.0794178668241637,0.002120774509757954
207,207,0.07931637328189053,0.0021390768698720587
208,208,0.07919185252958558,0.0021198372995435014
209,209,0.07907747424988805,0.0021248005890293293
210,210,0.07897309423702625,0.0021430853583375422
211,211,0.07886969894126696,0.002165667866517838
212,212,0.07876727449335512,0.002177670716452802
213,213,0.07866580728327427,0.002183754088179035
214,214,0.07856528395421741,0.002201899245993685
215,215,0.07846278880761641,0.0022143965940750816
216,216,0.07835257067737604,0.0022184401405679305
217,217,0.07824048776279086,0.0021921620166353312
218,218,0.07814087974692606,0.00220553360126751
219,219,0.07802222855514393,0.0022089918247840583
220,220,0.07792450956751161,0.002230288317357825
221,221,0.07781355022734335,0.002234118957029744
222,222,0.07771764342044227,0.0022598817769151477
223,223,0.07762259292431709,0.002272769605226043
224,224,0.07750888192267506,0.002275457978979883
225,225,0.07741559630482427,0.002272238586890365
226,226,0.0773203706516786,0.002288892209981957
227,227,0.07721223120497168,0.002315312805379394
228,228,0.077099560580964,0.002300347765620382
229,229,0.077009676979692,0.0023090298913952933
230,230,0.07691242926352646,0.0023333806129241146
231,231,0.07680791265809103,0.0023130590671932745
232,232,0.07672312887645137,0.002341483031101336
233,233,0.07662031455134904,0.0023423012133283326
234,234,0.07651837524177951,0.002365381424736051
235,235,0.07641464321768239,0.0023698021499041076
236,236,0.07632501355766307,0.0023428314877448194
237,237,0.07624403993572353,0.0024020813269584316
238,238,0.07615325087551318,0.0024069628240584355
239,239,0.07605276907001048,0.00241252877281838
240,240,0.0759635271010289,0.002422388206378198
241,241,0.07586206896551727,0.002432309062641436
242,242,0.0757846665892643,0.00244154915484731
243,243,0.07569762063826509,0.002457521325520819
244,244,0.07561896231846972,0.002454680463200351
245,245,0.07552055457858656,0.002471711962626605
246,246,0.0754229436625081,0.0024718085358396403
247,247,0.07532611993123675,0.0024637578545340837
248,248,0.07525021716961895,0.0024787376729443686
249,249,0.0751548589341693,0.002484458773524916
250,250,0.0750702519077296,0.002519908429513353
251,251,0.0749987560332388,0.002504667310164917
252,252,0.0749278253435266,0.0025207830777708405
253,253,0.07484264310221413,0.0025536023628635342
254,254,0.07475567029319566,0.002551058286298265
255,255,0.0746644788401254,0.002553179454534298
256,256,0.07459595281948699,0.0025688122218550384
257,257,0.07451580763529442,0.002558055649746169
258,258,0.07442901925660547,0.0025476534986904357
259,259,0.07434530986255125,0.002576351124639258
260,260,0.07426464406250378,0.0025989068369982452
261,261,0.07419177295460529,0.0025943502474599337
262,262,0.07412660762601762,0.002600536660420375
263,263,0.07405956112852666,0.002614041608647751
264,264,0.07397882533861716,0.002595692533594394
265,265,0.07389162561576357,0.0026221761523477598
266,266,0.0738121235602832,0.002667200727278409
267,267,0.07373789360407992,0.0026596399188586126
268,268,0.07365722343289323,0.002659125361616738
269,269,0.07357947288981773,0.002671877692125575
270,270,0.07349766914597047,0.0026895683954775715
271,271,0.07342338189194175,0.002693618947372566
272,272,0.07334274920481819,0.0026962443209835527
273,273,0.07327872228451139,0.0027067044185261186
274,274,0.07319692220005701,0.002718437287341448
275,275,0.07311571486983781,0.002761281119388543
276,276,0.07303509387413286,0.002747329510995226
277,277,0.072961818632868,0.002748943985631896
278,278,0.07288232716486334,0.002768912069083474
279,279,0.07281683833407973,0.0027360918318397767
280,280,0.0727451221008713,0.0027558543543519105
281,281,0.07266724471419997,0.002742343421789796
282,282,0.07259656390885831,0.002762226042370109
283,283,0.07252638085566694,0.0027959331082154414
284,284,0.07245669031512954,0.0027954585087200663
285,285,0.07239844794703731,0.0028125791588123838
286,286,0.07232531976013894,0.0028145570193225306
287,287,0.07225269940787184,0.002795487703145084
288,288,0.07218492043691903,0.002852139981241945
289,289,0.07211760890714518,0.0028417356823211564
290,290,0.07204214200303787,0.002847937329683872
291,291,0.07197578047837849,0.0028425089250688497
292,292,0.07190987193340967,0.002821655478381298
293,293,0.07184441174588958,0.002850460346121514
294,294,0.07177939535625102,0.0028422707201636093
295,295,0.0717042277387105,0.002858051801173657
296,296,0.07163801019600395,0.002844685696457804
297,297,0.0715701331762429,0.002876865676949847
298,298,0.0715131944517252,0.002877927932482506
299,299,0.07144618599791017,0.0028996697865884265
300,300,0.07137962278299087,0.0029017592492351853
301,301,0.07130934833606678,0.002909809907865168
302,302,0.07125609112635402,0.0029288509903880313
303,303,0.07120318429302097,0.002959491463126072
304,304,0.07113623516110798,0.0029690768746551514
305,305,0.07107791915094147,0.002953958313692096
306,306,0.0710097719869707,0.002946425751965729
307,307,0.07096038757480766,0.0029869231606198783
308,308,0.07090726481419485,0.002999788688544352
309,309,0.07084437253514006,0.0029814859531547516
310,310,0.0707818847080406,0.002995430510139474
311,311,0.0707298448677759,0.0030044157176320634
312,312,0.07067212835638528,0.003005637771698172
313,313,0.07061078609508219,0.003026012406593667
314,314,0.07054585261481813,0.0030407133941309913
315,315,0.0704813301059482,0.0030355020369326703
316,316,0.07042512583685216,0.003021112057501727
317,317,0.07037518976360879,0.003036880777059569
318,318,0.07031180904275705,0.0030333286343505114
319,319,0.07025666144200629,0.0030396663979964087
320,320,0.07019795115186674,0.0030611814735318215
321,321,0.07013960552191438,0.0030359265761582396
322,322,0.07008162116521252,0.003055454943680702
323,323,0.07002399473663842,0.0030731945516990723
324,324,0.06996672293224017,0.003096373745287723
325,325,0.06991364886435757,0.0030964779175256278
326,326,0.06986089940851094,0.0031033090834991445
327,327,0.06980273721232512,0.0030995226380938824
328,328,0.06975636249297291,0.0031008471636874042
329,329,0.06970076944998575,0.003124279306186734
330,330,0.06964551231662391,0.003138146366144242
331,331,0.0695981417834347,0.0035614999550998786
332,332,0.06953975919493163,0.003122233334529322
333,333,0.06948923469675071,0.003161171159393637
334,334,0.06943901183736492,0.003140407468564207
335,335,0.0693890879235707,0.0031771802000511045
336,336,0.06933015822814248,0.003175430708000106
337,337,0.06927157722913692,0.0031676796164180187
338,338,0.06922073958997976,0.003159836039813713
339,339,0.06917573298912041,0.003143471558794984
340,340,0.06912547458608741,0.0031995149393466435
341,341,0.06907551009184405,0.0031817780598709495
342,342,0.06901852545765286,0.003201572019831929
343,343,0.06896187212947438,0.0032137563669467992
344,344,0.06890918177275,0.0031558306902841043
345,345,0.0688658560892964,0.0032296178112502256
346,346,0.06881013252870555,0.0032306208833234487
347,347,0.06876193564659677,0.0032200520016879976
348,348,0.06871401496438549,0.003253304060019669
349,349,0.068666368114644,0.0032421570330516216
350,350,0.0686189927569238,0.0032338577190706287
351,351,0.06857722998005131,0.003265719111709697
352,352,0.06853037555391762,0.0032754864673273836
353,353,0.06848378584205587,0.003275878456102297
354,354,0.06844099077221955,0.0032958067013399137
355,355,0.06839843612412384,0.0032834261170680743
356,356,0.06835260750068053,0.0032669915990135726
